[2024-04-25 14:16:19] Query testing started
[2024-04-25 14:18:37] Query 1-4, Iteration 12 finished
[2024-04-25 14:18:37] Query 1-4, Iteration 13 started
[2024-04-25 14:18:39] Query 1-4, Iteration 13 finished
[2024-04-25 14:18:39] Query 1-4, Iteration 14 started
[2024-04-25 14:18:40] Query 1-4, Iteration 14 finished
[2024-04-25 14:18:40] Query 1-4, Iteration 15 started
[2024-04-25 14:18:42] Query 1-4, Iteration 15 finished
[2024-04-25 14:18:42] Query 1-4, Iteration 16 started
[2024-04-25 14:18:43] Query 1-4, Iteration 16 finished
[2024-04-25 14:18:43] Query 1-4, Iteration 17 started
[2024-04-25 14:18:45] Query 1-4, Iteration 17 finished
[2024-04-25 14:18:45] Query 1-4, Iteration 18 started
[2024-04-25 14:18:46] Query 1-4, Iteration 18 finished
[2024-04-25 14:18:46] Query 1-4, Iteration 19 started
[2024-04-25 14:18:48] Query 1-4, Iteration 19 finished
[2024-04-25 14:18:48] Query 1-4, Iteration 20 started
[2024-04-25 14:18:49] Query 1-4, Iteration 20 finished
[2024-04-25 14:18:49] Query 10, Iteration 1 started
[2024-04-25 14:19:11] Query 10, Iteration 1 finished
[2024-04-25 14:19:11] Query 10, Iteration 2 started
[2024-04-25 14:19:32] Query 10, Iteration 2 finished
[2024-04-25 14:19:32] Query 10, Iteration 3 started
[2024-04-25 14:19:53] Query 10, Iteration 3 finished
[2024-04-25 14:19:53] Query 10, Iteration 4 started
[2024-04-25 14:20:14] Query 10, Iteration 4 finished
[2024-04-25 14:20:14] Query 10, Iteration 5 started
[2024-04-25 14:20:34] Query 10, Iteration 5 finished
[2024-04-25 14:20:34] Query 10, Iteration 6 started
[2024-04-25 14:20:55] Query 10, Iteration 6 finished
[2024-04-25 14:20:55] Query 10, Iteration 7 started
[2024-04-25 14:21:15] Query 10, Iteration 7 finished
[2024-04-25 14:21:15] Query 10, Iteration 8 started
[2024-04-25 14:21:36] Query 10, Iteration 8 finished
[2024-04-25 14:21:36] Query 10, Iteration 9 started
[2024-04-25 14:21:56] Query 10, Iteration 9 finished
[2024-04-25 14:21:56] Query 10, Iteration 10 started
[2024-04-25 14:22:16] Query 10, Iteration 10 finished
[2024-04-25 14:22:16] Query 10, Iteration 11 started
[2024-04-25 14:22:36] Query 10, Iteration 11 finished
[2024-04-25 14:22:36] Query 10, Iteration 12 started
[2024-04-25 14:22:57] Query 10, Iteration 12 finished
[2024-04-25 14:22:57] Query 10, Iteration 13 started
[2024-04-25 14:23:18] Query 10, Iteration 13 finished
[2024-04-25 14:23:18] Query 10, Iteration 14 started
[2024-04-25 14:23:38] Query 10, Iteration 14 finished
[2024-04-25 14:23:38] Query 10, Iteration 15 started
[2024-04-25 14:23:59] Query 10, Iteration 15 finished
[2024-04-25 14:23:59] Query 10, Iteration 16 started
[2024-04-25 14:24:20] Query 10, Iteration 16 finished
[2024-04-25 14:24:20] Query 10, Iteration 17 started
[2024-04-25 14:24:40] Query 10, Iteration 17 finished
[2024-04-25 14:24:40] Query 10, Iteration 18 started
[2024-04-25 14:25:01] Query 10, Iteration 18 finished
