[2024-04-01 10:23:22] Query testing started
[2024-04-01 10:31:27] Query 10, Iteration 4 started
[2024-04-01 10:31:39] Query 10, Iteration 4 finished
[2024-04-01 10:31:39] Query 10, Iteration 5 started
[2024-04-01 10:31:51] Query 10, Iteration 5 finished
[2024-04-01 10:31:51] Query 10, Iteration 6 started
[2024-04-01 10:32:02] Query 10, Iteration 6 finished
[2024-04-01 10:32:02] Query 10, Iteration 7 started
[2024-04-01 10:32:14] Query 10, Iteration 7 finished
[2024-04-01 10:32:14] Query 10, Iteration 8 started
[2024-04-01 10:32:26] Query 10, Iteration 8 finished
[2024-04-01 10:32:26] Query 10, Iteration 9 started
[2024-04-01 10:32:38] Query 10, Iteration 9 finished
[2024-04-01 10:32:38] Query 10, Iteration 10 started
[2024-04-01 10:32:49] Query 10, Iteration 10 finished
[2024-04-01 10:32:49] Query 10, Iteration 11 started
[2024-04-01 10:33:02] Query 10, Iteration 11 finished
[2024-04-01 10:33:02] Query 10, Iteration 12 started
[2024-04-01 10:33:13] Query 10, Iteration 12 finished
[2024-04-01 10:33:13] Query 10, Iteration 13 started
[2024-04-01 10:33:25] Query 10, Iteration 13 finished
[2024-04-01 10:33:25] Query 10, Iteration 14 started
[2024-04-01 10:33:36] Query 10, Iteration 14 finished
[2024-04-01 10:33:36] Query 10, Iteration 15 started
[2024-04-01 10:33:48] Query 10, Iteration 15 finished
[2024-04-01 10:33:48] Query 10, Iteration 16 started
[2024-04-01 10:34:00] Query 10, Iteration 16 finished
[2024-04-01 10:34:00] Query 10, Iteration 17 started
[2024-04-01 10:34:11] Query 10, Iteration 17 finished
[2024-04-01 10:34:11] Query 10, Iteration 18 started
[2024-04-01 10:34:23] Query 10, Iteration 18 finished
[2024-04-01 10:34:23] Query 10, Iteration 19 started
[2024-04-01 10:34:35] Query 10, Iteration 19 finished
[2024-04-01 10:34:35] Query 10, Iteration 20 started
[2024-04-01 10:34:46] Query 10, Iteration 20 finished
[2024-04-01 10:34:46] Query 11, Iteration 1 started
[2024-04-01 10:35:12] Query 11, Iteration 1 finished
[2024-04-01 10:35:12] Query 11, Iteration 2 started
[2024-04-01 10:35:38] Query 11, Iteration 2 finished
[2024-04-01 10:35:38] Query 11, Iteration 3 started
[2024-04-01 10:36:04] Query 11, Iteration 3 finished
[2024-04-01 10:36:04] Query 11, Iteration 4 started
[2024-04-01 10:36:30] Query 11, Iteration 4 finished
[2024-04-01 10:36:30] Query 11, Iteration 5 started
[2024-04-01 10:36:56] Query 11, Iteration 5 finished
[2024-04-01 10:36:56] Query 11, Iteration 6 started
[2024-04-01 10:37:22] Query 11, Iteration 6 finished
[2024-04-01 10:37:22] Query 11, Iteration 7 started
[2024-04-01 10:37:49] Query 11, Iteration 7 finished
[2024-04-01 10:37:49] Query 11, Iteration 8 started
[2024-04-01 10:38:17] Query 11, Iteration 8 finished
[2024-04-01 10:38:17] Query 11, Iteration 9 started
[2024-04-01 10:38:43] Query 11, Iteration 9 finished
[2024-04-01 10:38:43] Query 11, Iteration 10 started
[2024-04-01 10:39:08] Query 11, Iteration 10 finished
[2024-04-01 10:39:08] Query 11, Iteration 11 started
[2024-04-01 10:39:34] Query 11, Iteration 11 finished
[2024-04-01 10:39:34] Query 11, Iteration 12 started
[2024-04-01 10:40:00] Query 11, Iteration 12 finished
[2024-04-01 10:40:00] Query 11, Iteration 13 started
[2024-04-01 10:40:25] Query 11, Iteration 13 finished
[2024-04-01 10:40:25] Query 11, Iteration 14 started
[2024-04-01 10:40:50] Query 11, Iteration 14 finished
[2024-04-01 10:40:50] Query 11, Iteration 15 started
[2024-04-01 10:41:18] Query 11, Iteration 15 finished
[2024-04-01 10:41:18] Query 11, Iteration 16 started
[2024-04-01 10:41:44] Query 11, Iteration 16 finished
[2024-04-01 10:41:44] Query 11, Iteration 17 started
[2024-04-01 10:42:11] Query 11, Iteration 17 finished
[2024-04-01 10:42:11] Query 11, Iteration 18 started
[2024-04-01 10:42:36] Query 11, Iteration 18 finished
[2024-04-01 10:42:36] Query 11, Iteration 19 started
[2024-04-01 10:43:02] Query 11, Iteration 19 finished
[2024-04-01 10:43:02] Query 11, Iteration 20 started
[2024-04-01 10:43:28] Query 11, Iteration 20 finished
[2024-04-01 10:43:28] Query 2-1, Iteration 1 started
[2024-04-01 10:43:32] Query 2-1, Iteration 1 finished
[2024-04-01 10:43:32] Query 2-1, Iteration 2 started
[2024-04-01 10:43:37] Query 2-1, Iteration 2 finished
[2024-04-01 10:43:37] Query 2-1, Iteration 3 started
[2024-04-01 10:43:41] Query 2-1, Iteration 3 finished
[2024-04-01 10:43:41] Query 2-1, Iteration 4 started
[2024-04-01 10:43:45] Query 2-1, Iteration 4 finished
